"","date","max_temperature","avg_hourly_temperature","avg_temperature","min_temperature","max_humidex","min_windchill","max_relative_humidity","avg_hourly_relative_humidity","avg_relative_humidity","min_relative_humidity","max_dew_point","avg_hourly_dew_point","avg_dew_point","min_dew_point","max_wind_speed","avg_hourly_wind_speed","avg_wind_speed","min_wind_speed","max_wind_gust","wind_gust_dir_10s","max_pressure_sea","avg_hourly_pressure_sea","avg_pressure_sea","min_pressure_sea","max_pressure_station","avg_hourly_pressure_station","avg_pressure_station","min_pressure_station","max_visibility","avg_hourly_visibility","avg_visibility","min_visibility","max_health_index","avg_hourly_health_index","avg_health_index","min_health_index","heatdegdays","cooldegdays","growdegdays_5","growdegdays_7","growdegdays_10","precipitation","rain","snow","snow_on_ground","sunrise","sunset","daylight","sunrise_f","sunset_f","min_uv_forecast","max_uv_forecast","min_high_temperature_forecast","max_high_temperature_forecast","min_low_temperature_forecast","max_low_temperature_forecast","solar_radiation","max_cloud_cover_4","avg_hourly_cloud_cover_4","avg_cloud_cover_4","min_cloud_cover_4","max_cloud_cover_8","avg_hourly_cloud_cover_8","avg_cloud_cover_8","min_cloud_cover_8","max_cloud_cover_10","avg_hourly_cloud_cover_10","avg_cloud_cover_10","min_cloud_cover_10"
"21","2021-12-27",-7.8,-10.8,-11.55,-15.3,NA,-23,85,67.9,71,57,-10.6,-15.7,-15,-19.4,21,15.42,12.5,4,NA,NA,101.34,101.22,101.22,101.1,101.29,101.17,101.17,101.05,40200,28762.5,22500,4800,2.8,2.3,2.4,2,29.6,0,0,0,0,0.8,0,1,1,"08:07:00","16:20:00",8.22,8.12,16.33,1,1,-9,-8,-9,-7,NA,NA,NA,NA,NA,8,6.1,4,0,NA,NA,NA,NA
"22","2021-12-26",-5.7,-7.7,-8.25,-10.8,NA,-16,90,72.5,72.5,55,-8.2,-11.9,-11.9,-15.6,19,15.67,15.5,12,NA,NA,101.04,100.24,100.38,99.72,100.99,100.19,100.33,99.67,32200,22329.2,17300,2400,2.4,2,2.1,1.8,26.2,0,0,0,0,3,0,4,2,"08:07:00","16:20:00",8.22,8.12,16.33,NA,NA,-4,-4,-11,-10,NA,NA,NA,NA,NA,8,6.7,4.5,1,NA,NA,NA,NA
"23","2021-12-25",0.6,-2.88,-2.6,-5.8,NA,-13,95,87.8,84,73,-0.4,-4.7,-4.5,-8.5,32,20,22,12,42,9,99.72,99.67,99.66,99.6,99.67,99.62,99.61,99.55,32200,16629.2,16700,1200,2.3,1.9,2,1.7,20.6,0,0,0,0,1.6,0,2.2,0,"08:07:00","16:19:00",8.2,8.12,16.32,NA,NA,0,1,-6,-6,NA,NA,NA,NA,NA,8,7.1,5,2,NA,NA,NA,NA
"24","2021-12-24",3.6,1.32,1.85,0.1,NA,NA,98,95.7,94.5,91,2,0.7,1,-0.1,26,15.5,15,4,39,10,99.62,99.2,99.27,98.92,99.57,99.15,99.22,98.87,32200,15058.3,16300,400,2.3,1.9,2,1.6,16.1,0,0,0,0,8.7,5.1,6.9,1,"08:06:00","16:18:00",8.2,8.1,16.3,NA,NA,3,3,-1,0,NA,NA,NA,NA,NA,8,7.5,4.5,1,NA,NA,NA,NA
"25","2021-12-23",7,3.45,4.4,1.8,NA,NA,96,83.8,84,72,4,0.9,1.4,-1.3,31,19.29,19.5,8,46,26,99.54,99.44,99.39,99.24,99.49,99.39,99.34,99.19,48300,31770.8,32200,16100,2.9,2.2,2.3,1.7,13.6,0,0,0,0,2.4,2.4,0,NA,"08:06:00","16:18:00",8.2,8.1,16.3,NA,NA,4,5,0,1,NA,NA,NA,NA,NA,8,7.5,6,4,NA,NA,NA,NA
"26","2021-12-22",8.9,6.53,4.9,0.9,NA,NA,98,92.9,90.5,83,7.1,5.5,4.8,2.6,32,21.04,20.5,9,46,14,100.47,99.91,99.91,99.35,100.42,99.86,99.86,99.3,32200,24450,24150,16100,2.4,1.9,1.8,1.2,13.1,0,0,0,0,3.4,3.4,0,NA,"08:06:00","16:17:00",8.18,8.1,16.28,NA,NA,8,8,2,3,NA,NA,NA,NA,NA,8,7.9,7.5,7,NA,NA,NA,NA
"27","2021-12-21",1.4,-1.31,-2.4,-6.2,NA,-10,99,88.5,83.5,68,2.1,-3,-2.8,-7.7,20,9.46,10.5,1,NA,NA,102.44,101.75,101.49,100.54,102.39,101.7,101.44,100.49,40200,23666.7,21700,3200,3.8,2.5,2.8,1.7,20.4,0,0,0,0,6.5,6.5,0,NA,"08:05:00","16:17:00",8.2,8.08,16.28,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,8,5.7,4,0,NA,NA,NA,NA
"28","2021-12-20",2.4,-1.47,-1.05,-4.5,NA,-7,93,77.5,77,61,-2.3,-5,-4.6,-6.9,15,7.67,8,1,NA,NA,102.45,102.09,102.13,101.82,102.4,102.04,102.08,101.77,40200,35533.3,36200,32200,3.6,2.5,2.8,1.9,19.1,0,0,0,0,0,0,0,NA,"08:05:00","16:16:00",8.18,8.08,16.27,1,1,1,1,-5,-4,NA,NA,NA,NA,NA,6,1.9,3,0,NA,NA,NA,NA
"29","2021-12-19",5.8,1.3,1.65,-2.5,NA,-5,99,88.3,85.5,72,1.4,-0.5,-0.8,-3.1,24,8.04,12.5,1,31,31,101.85,101.66,101.57,101.29,101.8,101.61,101.52,101.24,40200,35533.3,36200,32200,2.6,1.9,2.1,1.6,16.4,0,0,0,0,0,0,0,NA,"08:04:00","16:16:00",8.2,8.07,16.27,1,1,5,5,-3,-3,NA,NA,NA,NA,NA,5,1.2,2.5,0,NA,NA,NA,NA
"30","2021-12-18",7.9,4.47,4.25,0.6,NA,NA,98,89.6,82,66,6.9,2.8,3.6,0.4,35,20.38,19.5,4,46,20,101.77,100.89,101.07,100.38,101.72,100.84,101.03,100.33,48300,22366.7,26150,4000,2.5,1.8,2,1.4,13.8,0,0,0,0,31.3,31.3,0,NA,"08:03:00","16:15:00",8.2,8.05,16.25,NA,NA,6,6,3,3,NA,NA,NA,NA,NA,8,6.6,5,2,NA,NA,NA,NA
"31","2021-12-17",2.2,0.41,0.05,-2.1,NA,-6,97,90.1,89,81,1.1,-1,-1.1,-3.3,27,14.29,16.5,6,31,9,102.8,102.54,102.35,101.9,102.75,102.49,102.3,101.85,48300,26108.3,26150,4000,2.5,1.9,1.9,1.3,17.9,0,0,0,0,1.9,1.9,0,NA,"08:03:00","16:15:00",8.2,8.05,16.25,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,8,7.1,5,2,NA,NA,NA,NA
"32","2021-12-16",6.3,3.4,3,-0.3,NA,-5,95,86.5,82.5,70,3.4,1.3,0.8,-1.9,36,12.33,18.5,1,47,29,102.4,101.55,101.72,101.03,102.35,101.5,101.67,100.98,48300,29816.7,36200,24100,2.5,1.9,1.8,1.2,15,0,0,0,0,0.7,0.7,0,NA,"08:02:00","16:15:00",8.22,8.03,16.25,NA,NA,5,6,-2,1,NA,NA,NA,NA,NA,8,5.1,4.5,1,NA,NA,NA,NA
"33","2021-12-15",7.3,4.58,4.9,2.5,NA,NA,91,78.9,76.5,62,2.2,1.1,0.8,-0.6,26,17.54,14,2,47,7,101.04,100.76,100.8,100.56,100.99,100.71,100.75,100.51,48300,33183.3,36200,24100,2.7,1.9,2,1.3,13.1,0,0,0,0,0,0,0,NA,"08:01:00","16:15:00",8.23,8.02,16.25,NA,NA,6,6,2,3,NA,NA,NA,NA,NA,8,8,7.5,7,NA,NA,NA,NA
"34","2021-12-14",4.7,2.68,2.55,0.4,NA,NA,98,91.6,90.5,83,2.6,1.4,1.4,0.2,22,16.5,14,6,38,9,100.92,100.69,100.49,100.07,100.87,100.64,100.44,100.02,48300,35879.2,36200,24100,3.1,2.1,2.2,1.4,15.4,0,0,0,0,0.8,0.8,0,NA,"08:00:00","16:14:00",8.23,8,16.23,NA,NA,3,5,2,2,NA,NA,NA,NA,NA,8,6.8,4.5,1,NA,NA,NA,NA
"35","2021-12-13",5.9,4.2,3.95,2,NA,NA,96,89.1,88,80,3.9,2.5,2.3,0.7,34,15.17,19,4,47,8,99.99,99.72,99.7,99.42,99.94,99.67,99.66,99.37,32200,27825,24150,16100,2.6,1.9,2,1.5,14.1,0,0,0,0,8.4,8.4,0,NA,"08:00:00","16:14:00",8.23,8,16.23,NA,NA,3,5,1,1,NA,NA,NA,NA,NA,8,7.9,7.5,7,NA,NA,NA,NA
"36","2021-12-12",5.1,3.53,3.09,1.1,NA,NA,97,87.4,88,79,2.6,1.6,1.4,0.2,30,16.62,18.5,7,42,16,100.17,100,99.88,99.6,100.12,99.95,99.84,99.55,32200,27250,18100,4000,2.2,2,2,1.8,14.9,0,0,0,0,3.9,3.9,0,NA,"07:59:00","16:14:00",8.25,7.98,16.23,NA,NA,4,5,2,2,NA,NA,NA,NA,NA,8,7.6,6.5,5,NA,NA,NA,NA
"37","2021-12-11",8.3,5.79,4.85,1.4,NA,NA,95,85.2,83.5,72,6.7,3.5,3.7,0.7,39,23.75,23,7,53,16,99.73,99.59,99.58,99.42,99.68,99.54,99.53,99.37,48300,34125,33800,19300,2.4,2.1,2,1.7,13.2,0,0,0,0,5.6,5.6,0,NA,"07:58:00","16:14:00",8.27,7.97,16.23,NA,NA,6,6,1,1,NA,NA,NA,NA,NA,8,6.4,5,2,NA,NA,NA,NA
"38","2021-12-10",6.6,3.7,2.75,-1.1,NA,-2,98,94.9,94.5,91,6,3,2.6,-0.8,34,18.54,17.5,1,52,13,101.72,101.23,100.81,99.89,101.67,101.18,100.75,99.84,48300,23320.8,29800,11300,2.5,1.8,1.8,1.1,15.2,0,0,0,0,11.3,11.3,0,NA,"07:57:00","16:14:00",8.28,7.95,16.23,NA,NA,6,6,6,6,NA,NA,NA,NA,NA,8,7.2,5.5,3,NA,NA,NA,NA
